A	ఆ
idEnaMTAru	ఇదేనంటారు
idI	ఇదీ
idO	ఇదో
idaMtA	ఇదంతా
iddaraM	ఇద్దరం
iddarilOnU	ఇద్దరిలోనూ
iddarinI	ఇద్దరినీ
iddaru	ఇద్దరు
ideMtO	ఇదెంతో
idi	ఇది
idivaralOnE	ఇదివరలోనే
idoka	ఇదొక
ika	ఇక
ikkaDE	ఇక్కడే
ikkaDa	ఇక్కడ
ikkaDaku	ఇక్కడకు
ikkaDi	ఇక్కడి
ikkaDiki	ఇక్కడికి
ilA	ఇలా
ilAMTi	ఇలాంటి
ilAMTicOTla	ఇలాంటిచోట్ల
ilAMTivAriki	ఇలాంటివారికి
ilAMTivannI	ఇలాంటివన్నీ
ilAgE	ఇలాగే
inisTiTyUT	ఇనిస్టిట్యూట్
inni	ఇన్ని
inumunu	ఇనుమును
ippaTi	ఇప్పటి
ippaTikI	ఇప్పటికీ
ippiMci	ఇప్పించి
ippistunnAru	ఇప్పిస్తున్నారు
ippuDu	ఇప్పుడు
ippuDuMdi	ఇప్పుడుంది
ipuDu	ఇపుడు
iravai	ఇరవై
irikiMcaTaM	ఇరికించటం
iruvurikI	ఇరువురికీ
iruvurilOnU	ఇరువురిలోనూ
ishTAyishTAlanu	ఇష్టాయిష్టాలను
ishTaM	ఇష్టం
ishTaMgA	ఇష్టంగా
ishTamaTa	ఇష్టమట
ishTapaDitE	ఇష్టపడితే
istAnu	ఇస్తాను
istAru	ఇస్తారు
istE	ఇస్తే
istunnAru	ఇస్తున్నారు
istunnAyi	ఇస్తున్నాయి
isuka	ఇసుక
itara	ఇతర
itaratrA	ఇతరత్రా
itarula	ఇతరుల
ivannI	ఇవన్నీ
iveMduku	ఇవెందుకు
ivi	ఇవి
ivikAka	ఇవికాక
ivvAlsina	ఇవ్వాల్సిన
ivvAlsinaMtaTi	ఇవ్వాల్సినంతటి
ivvaDAniki	ఇవ్వడానికి
ivvaDAnni	ఇవ్వడాన్ని
ivvaMDi	ఇవ్వండి
ivvaTAniki	ఇవ్వటానికి
ivvaTaM	ఇవ్వటం
ivvaccu	ఇవ్వచ్చు
ivvalEM	ఇవ్వలేం
ivvalEkapOtunnAnA	ఇవ్వలేకపోతున్నానా
ivvalEru	ఇవ్వలేరు
ivvoccu	ఇవ్వొచ్చు
ivvoccugAnI	ఇవ్వొచ్చుగానీ
jAgrattagA	జాగ్రత్తగా
jAgrattala	జాగ్రత్తల
jAgrattalu	జాగ్రత్తలు
jAnsan	జాన్సన్
jAnu	జాను
jArI	జారీ
jArIcEsi	జారీచేసి
jAri	జారి
jAripOtuMTAru	జారిపోతుంటారు
jAripOyiMdi	జారిపోయింది
jAvagAripOtuMTAru	జావగారిపోతుంటారు
jEbIes	జేబీఎస్
jI	జీ
jItabhatyAlaku	జీతభత్యాలకు
jIva	జీవ
jIvakriyala	జీవక్రియల
jIvakriyalannI	జీవక్రియలన్నీ
jIvana	జీవన
jIvanaM	జీవనం
jIvanaSaili	జీవనశైలి
jIvanaSaililO	జీవనశైలిలో
jIvikainA	జీవికైనా
jIvistunnAmanna	జీవిస్తున్నామన్న
jIvitAMtaM	జీవితాంతం
jIvitAllO	జీవితాల్లో
jIvitAnnE	జీవితాన్నే
jIvitAnni	జీవితాన్ని
jIvita	జీవిత
jIvitaM	జీవితం
jIvitaMlO	జీవితంలో
jIvitaMlOnU	జీవితంలోనూ
jIvitaMlOni	జీవితంలోని
jIyar	జీయర్
jJApakaSakti	జ్ఞాపకశక్తి
jOkyaM	జోక్యం
jOliki	జోలికి
jaDaMgA	జడంగా
jaMTA	జంటా
jaMtujAlaM	జంతుజాలం
jaMtuvula	జంతువుల
jaMtuvulanu	జంతువులను
jaTAjUTaM	జటాజూటం
jabbu	జబ్బు
jabbula	జబ్బుల
jabbulu	జబ్బులు
jabbutO	జబ్బుతో
jagattulO	జగత్తులో
jaipUr	జైపూర్
jalAlatO	జలాలతో
jalAlu	జలాలు
jalAnnE	జలాన్నే
jaladhAra	జలధార
jaladurgagA	జలదుర్గగా
jalapAta	జలపాత
jalubu	జలుబు
jamIMdArulu	జమీందారులు
jamiMdArulaina	జమిందారులైన
janAbhA	జనాభా
janAnni	జనాన్ని
janaM	జనం
jananAMgAla	జననాంగాల
jananAMgAlanu	జననాంగాలను
jananAMga	జననాంగ
jananAvayavAlu	జననావయవాలు
japAn	జపాన్
jaragabOyE	జరగబోయే
jaragakapOvaccu	జరగకపోవచ్చు
jarapagA	జరపగా
jarigE	జరిగే
jarigi	జరిగి
jarigiMdO	జరిగిందో
jarigiMdani	జరిగిందని
jarigiMdi	జరిగింది
jarigipOyiMdani	జరిగిపోయిందని
jarigitE	జరిగితే
jarimAnA	జరిమానా
jarugutAyi	జరుగుతాయి
jarugutuMDE	జరుగుతుండే
jarugutuMDEvi	జరుగుతుండేవి
jarugutuMTAyi	జరుగుతుంటాయి
jarugutuMdO	జరుగుతుందో
jarugutuMdi	జరుగుతుంది
jarugutunnAyi	జరుగుతున్నాయి
jarugutunna	జరుగుతున్న
jarupukoMTOMdi	జరుపుకొంటోంది
jarupukuMTAru	జరుపుకుంటారు
jaruputAru	జరుపుతారు
jata	జత
jayajayadhvAnAla	జయజయధ్వానాల
jillA	జిల్లా
jillAlOni	జిల్లాలోని
jillAla	జిల్లాల
jivvumannAy	జివ్వుమన్నాయ్
jvAlA	జ్వాలా
jyOtisha	జ్యోతిష
kAMcIpurAniki	కాంచీపురానికి
kAMksha	కాంక్ష
kASIgA	కాశీగా
kASIlO	కాశీలో
kASIviSvESvaruDu	కాశీవిశ్వేశ్వరుడు
kASi	కాశి
kASyAM	కాశ్యాం
kATEj	కాటేజ్
kATEjIlu	కాటేజీలు
kAbOtunnAyi	కాబోతున్నాయి
kAbaTTE	కాబట్టే
kAbaTTi	కాబట్టి
kAdanI	కాదనీ
kAdanaDAniki	కాదనడానికి
kAdanalEM	కాదనలేం
kAdani	కాదని
kAdu	కాదు
kAgA	కాగా
kAgAnE	కాగానే
kAkapOtE	కాకపోతే
kAkapOvaccu	కాకపోవచ్చు
kAkatIyulu	కాకతీయులు
kAkinADa	కాకినాడ
kAkinADaku	కాకినాడకు
kAkinADala	కాకినాడల
kAkuLESvaruDigA	కాకుళేశ్వరుడిగా
kAkuLamani	కాకుళమని
kAkuMDA	కాకుండా
kAlEdu	కాలేదు
kAlEjIki	కాలేజీకి
kAla	కాల
kAlaM	కాలం
kAlaMlO	కాలంలో
kAlaMlOnE	కాలంలోనే
kAlabhairavuDu	కాలభైరవుడు
kAlagamanaMlO	కాలగమనంలో
kAlakRtyAlu	కాలకృత్యాలు
kAlakramENA	కాలక్రమేణా
kAlakramaMlO	కాలక్రమంలో
kAlasarpadOsha	కాలసర్పదోష
kAli	కాలి
kAlinaDakana	కాలినడకన
kAm	కామ్
kAmAkshIdEvi	కామాక్షీదేవి
kAmars	కామర్స్
kAmasUtra	కామసూత్ర
kAmasUtramE	కామసూత్రమే
kAmitArthAlanu	కామితార్థాలను
kAnI	కానీ
kAnarAka	కానరాక
kAniccE	కానిచ్చే
kAnicceyyakuMDA	కానిచ్చెయ్యకుండా
kAnukalni	కానుకల్ని
kApADukOvaTaM	కాపాడుకోవటం
kApADukOvaTamE	కాపాడుకోవటమే
kApADukOvaccani	కాపాడుకోవచ్చని
kApADukuMTAru	కాపాడుకుంటారు
kApADutuMdani	కాపాడుతుందని
kApADutuMdi	కాపాడుతుంది
kApurAniki	కాపురానికి
kArDu	కార్డు
kArTUnlu	కార్టూన్లు
kAraNAlEvI	కారణాలేవీ
kAraNAlu	కారణాలు
kAraNaM	కారణం
kAraNaMgA	కారణంగా
kAraNamayyE	కారణమయ్యే
kArakuDE	కారకుడే
kArlalO	కార్లలో
kArporEshan	కార్పొరేషన్
kArtIka	కార్తీక
kArtIkaMlO	కార్తీకంలో
kArtIkamAsaM	కార్తీకమాసం
kAruNya	కారుణ్య
kAryAlayaMlO	కార్యాలయంలో
kAryaMgA	కార్యంగా
kAryakalApAlaku	కార్యకలాపాలకు
kAryakalApAlu	కార్యకలాపాలు
kAryakramAla	కార్యక్రమాల
kAryakramAniki	కార్యక్రమానికి
kAryakramaM	కార్యక్రమం
kAsEpayyAka	కాసేపయ్యాక
kAstA	కాస్తా
kAsta	కాస్త
kAstaMta	కాస్తంత
kAstaMtainA	కాస్తంతైనా
kAstamuMdu	కాస్తముందు
kAvAlaMTE	కావాలంటే
kAvAlanE	కావాలనే
kAvAli	కావాలి
kAvAlsiMdi	కావాల్సింది
kAvaDAniki	కావడానికి
kAvaDaM	కావడం
kAvaDaMtO	కావడంతో
kAvaTAniki	కావటానికి
kAvaTamannadi	కావటమన్నది
kAvaccu	కావచ్చు
kAvanI	కావనీ
kAvyAnni	కావ్యాన్ని
kAvyAvishkaraNa	కావ్యావిష్కరణ
kAvyaMlO	కావ్యంలో
kEMdrAlu	కేంద్రాలు
kEMdrIkariMcAli	కేంద్రీకరించాలి
kEMdraM	కేంద్రం
kEMdraMgA	కేంద్రంగా
kEkEsiMdi	కేకేసింది
kEsullO	కేసుల్లో
kEvalaM	కేవలం
kIlaka	కీలక
kIlakaM	కీలకం
kIlakaMgA	కీలకంగా
kIlakamE	కీలకమే
kIlakamaina	కీలకమైన
kIlakamainadi	కీలకమైనది
kIlakamainavI	కీలకమైనవీ
kIrtiMcAru	కీర్తించారు
kIrtinoMdADani	కీర్తినొందాడని
kODiMg	కోడింగ్
kODiguDDu	కోడిగుడ్డు
kONaM	కోణం
kOTak	కోటక్
kOTipalli	కోటిపల్లి
kOTla	కోట్ల
kOTlu	కోట్లు
kOdaMDarAmanna	కోదండరామన్న
kOdaMDarAmasvAmivAri	కోదండరామస్వామివారి
kOlaMka	కోలంక
kOlpOtuMTuMdi	కోల్పోతుంటుంది
kOlpOyina	కోల్పోయిన
kOlukunna	కోలుకున్న
kOnETi	కోనేటి
kOr	కోర్
kOrAraTa	కోరారట
kOrika	కోరిక
kOrikanu	కోరికను
kOrikapai	కోరికపై
kOrkelu	కోర్కెలు
kOrn	కోర్న్
kOrukOkakapOvaccu	కోరుకోకకపోవచ్చు
kOrukOvaccu	కోరుకోవచ్చు
kOrukunna	కోరుకున్న
kOrumilli	కోరుమిల్లి
kOsaM	కోసం
kOsamE	కోసమే
kRshNAjillA	కృష్ణాజిల్లా
kRshNAjillAlOni	కృష్ణాజిల్లాలోని
kRshNAnadilO	కృష్ణానదిలో
kRshNAtIrAnunna	కృష్ణాతీరానున్న
kRshNamUrti	కృష్ణమూర్తి
kRtayugaMlO	కృతయుగంలో
kRtrimaMgA	కృత్రిమంగా
kUDA	కూడా
kUDadu	కూడదు
kUDina	కూడిన
kUconi	కూచొని
kUcunE	కూచునే
kUcunnappuDu	కూచున్నప్పుడు
kUrcObeTTA	కూర్చోబెట్టా
kUrcObeTTE	కూర్చోబెట్టే
kUrcObeTTEyaDaM	కూర్చోబెట్టేయడం
kUrcunE	కూర్చునే
kUrcunnA	కూర్చున్నా
kUrcunnAM	కూర్చున్నాం
kUrukOkUDadu	కూరుకోకూడదు
kUrukuMTAru	కూరుకుంటారు
kUrukuni	కూరుకుని
kUrukupOlEM	కూరుకుపోలేం
kUrukupOtunna	కూరుకుపోతున్న
kUtuLliddarU	కూతుళ్లిద్దరూ
kUturiki	కూతురికి
kaDupu	కడుపు
kaDupulOki	కడుపులోకి
kaDupunaku	కడుపునకు
kaDutunnAyi	కడుతున్నాయి
kaLASAlalO	కళాశాలలో
kaLAkArulu	కళాకారులు
kaLakaLalADutuMTAyi	కళకళలాడుతుంటాయి
kaLlArA	కళ్లారా
kaLlU	కళ్లూ
kaMDarAlE	కండరాలే
kaMDarAla	కండరాల
kaMDarAlanu	కండరాలను
kaMDarAlu	కండరాలు
kaMDara	కండర
kaMTE	కంటే
kaMTa	కంట
kaMTiki	కంటికి
kaMgArupaDaru	కంగారుపడరు
kaMpenIlO	కంపెనీలో
kaMpenIlakU	కంపెనీలకూ
kaMpenIlaku	కంపెనీలకు
kaNAlaku	కణాలకు
kaNaM	కణం
kaNajAlaM	కణజాలం
kaNiti	కణితి
kaSyapa	కశ్యప
kaTTaDi	కట్టడి
kaTTabATlanu	కట్టబాట్లను
kaTTabeTTEMduku	కట్టబెట్టేందుకు
kaTTiMcukunnappuDu	కట్టించుకున్నప్పుడు
kaTTu	కట్టు
kaTTubATlU	కట్టుబాట్లూ
kaThinaMgA	కఠినంగా
kaThinamaina	కఠినమైన
kaTika	కటిక
kaTnaM	కట్నం
kaTnaMgA	కట్నంగా
kaburu	కబురు
kaccitaMgA	కచ్చితంగా
kaccitamaina	కచ్చితమైన
kadA	కదా
kadalaTaM	కదలటం
kadalika	కదలిక
kadalikalu	కదలికలు
kadallEdu	కదల్లేదు
kadiliMcAlsi	కదిలించాల్సి
kadilinA	కదిలినా
kadulutuMTAru	కదులుతుంటారు
kadulutuMdi	కదులుతుంది
kaiMkaryAla	కైంకర్యాల
kailAsa	కైలాస
kailAsagirigAnE	కైలాసగిరిగానే
kailAsapati	కైలాసపతి
kaivalyaM	కైవల్యం
kalagaTAniki	కలగటానికి
kalagaTaM	కలగటం
kalagajEstAyi	కలగజేస్తాయి
kalakattAgA	కలకత్తాగా
kalalO	కలలో
kalala	కలల
kalavaDaM	కలవడం
kalavakuMDA	కలవకుండా
kalavarapeDutuMTAyi	కలవరపెడుతుంటాయి
kalayika	కలయిక
kalekTar	కలెక్టర్
kaligiMdanI	కలిగిందనీ
kaligistAyani	కలిగిస్తాయని
kaliguMDaTamE	కలిగుండటమే
kalipEsukunna	కలిపేసుకున్న
kalipi	కలిపి
kalisE	కలిసే
kalisi	కలిసి
kalisimelisi	కలిసిమెలిసి
kalistE	కలిస్తే
kaliyugAraMbhaMlO	కలియుగారంభంలో
kaliyuga	కలియుగ
kaliyugaMlO	కలియుగంలో
kallOlAniki	కల్లోలానికి
kallOlaM	కల్లోలం
kalpiMcE	కల్పించే
kalpiMcaDaMtO	కల్పించడంతో
kalpiMcanunnAru	కల్పించనున్నారు
kalpiMciMdi	కల్పించింది
kalpiMcina	కల్పించిన
kalpistAmani	కల్పిస్తామని
kalpistAru	కల్పిస్తారు
kalpistOMdi	కల్పిస్తోంది
kalpistU	కల్పిస్తూ
kalpistuMdi	కల్పిస్తుంది
